episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
5700,143.781100,12.139514,154.545636,0.663020,0.055451,0.675607,0.218840,0.035971,0.239967,26.251220,0.818768,26.114706,201.868765,22.643817,185.224542,0.856280,0.051367,0.821576,0.107960,0.050622,0.115087,27.665540,0.535164,27.435140
5800,144.719119,12.591712,152.089006,0.712700,0.051755,0.684881,0.261160,0.021606,0.245265,26.223160,0.486768,26.141819,185.092730,28.088902,185.191589,0.828720,0.063911,0.823362,0.128320,0.057350,0.118395,27.904820,0.697966,27.552560
5900,154.494404,8.356000,152.690356,0.673360,0.039327,0.682000,0.222580,0.028586,0.239594,26.668180,0.651392,26.273409,182.999308,14.183320,184.643519,0.818600,0.081737,0.822172,0.115460,0.045409,0.117661,28.250000,0.305417,27.726920
6000,142.772736,18.663152,150.210951,0.682840,0.069881,0.682210,0.218620,0.016031,0.234350,27.304040,0.627042,26.531067,196.366641,20.973439,187.574299,0.851040,0.047656,0.829389,0.108240,0.054991,0.115306,27.946500,0.484868,27.781815
6100,125.050777,14.307018,143.920907,0.722760,0.041995,0.692348,0.238280,0.022530,0.235333,26.729440,0.428676,26.580660,193.421607,25.249767,189.036126,0.841820,0.066066,0.832497,0.088840,0.032422,0.108689,28.057340,0.358406,27.850696
6200,164.428511,12.382449,149.047808,0.727860,0.056347,0.701226,0.255120,0.048125,0.240280,27.039160,0.655225,26.695285,187.700193,8.447425,188.702143,0.866220,0.058014,0.840927,0.116820,0.057214,0.110722,28.272540,0.519615,27.956157
6300,167.630939,19.622327,153.693591,0.727980,0.040357,0.707914,0.225960,0.032138,0.236700,26.586580,1.023631,26.668109,187.106024,22.090368,188.303113,0.824380,0.072329,0.836791,0.092180,0.041944,0.106087,28.241840,0.593707,28.027578
6400,154.068062,28.275836,153.787209,0.748140,0.052773,0.717971,0.248340,0.032450,0.239610,26.255300,0.430865,26.564907,208.604026,18.665653,193.378341,0.860660,0.036460,0.842758,0.075240,0.035359,0.098375,27.458080,0.666078,27.885203
6500,177.314225,17.233787,159.668963,0.741700,0.030919,0.723903,0.227340,0.037442,0.236542,26.692000,0.286175,26.596680,206.954984,22.417061,196.772502,0.843820,0.048990,0.843023,0.083200,0.045419,0.094581,27.555220,0.718402,27.802708
6600,165.049700,26.887534,161.014147,0.712240,0.035202,0.720987,0.232680,0.021023,0.235577,26.928460,0.726881,26.679625,192.990638,31.264006,195.827036,0.845380,0.065754,0.843613,0.097680,0.050448,0.095356,27.844380,0.625157,27.813126
