episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
6100,125.758448,8.237742,115.818560,0.608560,0.013341,0.605604,0.343440,0.028568,0.313377,24.734180,0.517794,25.066422,137.729864,25.651569,136.670768,0.666640,0.029481,0.666439,0.238140,0.018510,0.253876,26.002600,0.577858,25.957931
6200,159.909415,14.444559,126.841274,0.591100,0.048912,0.601978,0.303300,0.031235,0.310858,24.640760,0.907412,24.960006,145.026053,11.344774,138.759589,0.681500,0.037297,0.670204,0.248060,0.017302,0.252422,25.404460,0.389231,25.819563
6300,145.940217,28.099494,131.616010,0.621440,0.062284,0.606843,0.316040,0.026174,0.312153,26.268960,1.037636,25.287245,163.867154,10.762453,145.036481,0.717960,0.051149,0.682143,0.231320,0.024307,0.247146,25.426140,1.158672,25.721208
6400,132.078812,29.554218,131.731710,0.592280,0.060302,0.603202,0.290300,0.058710,0.306690,26.221020,0.399686,25.520689,160.155245,22.961254,148.816172,0.712520,0.047250,0.689737,0.241040,0.030633,0.245620,25.826480,0.503179,25.747526
6500,139.098605,15.956800,133.573434,0.628700,0.053281,0.609577,0.324940,0.058867,0.311252,26.642780,0.411837,25.801211,165.968598,8.848840,153.104278,0.665700,0.047514,0.683728,0.214580,0.033859,0.237860,25.439900,0.728358,25.670619
6600,152.594364,20.680599,138.328666,0.631560,0.033024,0.615073,0.312980,0.022735,0.311684,26.656800,0.799911,26.015109,142.757992,13.365099,150.517707,0.708100,0.041219,0.689821,0.210580,0.024941,0.231040,26.564580,0.597030,25.894109
6700,128.352446,7.048068,135.834611,0.630740,0.044655,0.618989,0.315860,0.030173,0.312728,25.859280,0.610681,25.976151,169.578395,14.247526,155.282879,0.671140,0.043617,0.685151,0.231840,0.026812,0.231240,26.767220,0.589645,26.112387
6800,98.787850,24.776739,126.572921,0.654660,0.037417,0.627907,0.284940,0.046887,0.305781,26.509100,1.009107,26.109389,159.767401,16.225069,156.404009,0.704420,0.027227,0.689968,0.238580,0.044959,0.233075,26.806400,0.709073,26.285890
6900,111.705777,23.186976,122.856135,0.617420,0.062162,0.625285,0.297940,0.026556,0.303821,26.188100,0.440614,26.129066,151.152323,14.428229,155.091088,0.694780,0.034555,0.691171,0.234560,0.024118,0.233446,26.978920,0.774734,26.459148
7000,120.808832,16.770479,122.344309,0.635420,0.049712,0.627819,0.313060,0.029914,0.306131,26.275660,0.331467,26.165715,144.968360,14.560924,152.560406,0.713580,0.031492,0.696773,0.222700,0.014399,0.230760,26.069240,0.477851,26.361671
