init,     2026-04-08 14:20:08.315999
arguments,Namespace(lr=0.001, gamma=0.97, entropy=0.1, PPO_epochs=5, eps_clip=0.2, alg='ppo', cuda=-1, thread=-1, train_num=2000, rep=11, ignore_checkpoint=False, monitor_time=False, task='gymip', model='rwtaprob', optimizer='rmsprop', gymip_train_xml='inverted_pendulum_ChangeThk_0.050000.xml', hidden_num=64, hid_group_num=8, hid_group_size=8, rwta_del_connection='none', response_window=40, snn_num_steps=15, road_scenario='merge', traffic_level='standard', skip_post_tests=False)
model_dir,/root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/models
log_dir,  /root/autodl-tmp/SVPG2023/LANE/training_runs/baseline/merge/logs
train,    470, -60.354368
train,    471, -60.135934
train,    472, -60.694966
train,    473, -60.499586
train,    474, -60.759507
train,    475, -60.140427
train,    476, -60.220581
train,    477, -60.634429
train,    478, -60.287395
train,    479, -60.052393
train,    480, -63.883665
train,    481, -60.055859
train,    482, -60.140945
train,    483, -60.750146
train,    484, -60.138966
train,    485, -60.273057
train,    486, -65.640832
train,    487, -60.329612
train,    488, -60.139332
train,    489, -60.139384
train,    490, -61.169203
train,    491, -60.880941
train,    492, -60.498740
train,    493, -60.267439
train,    494, -60.264977
train,    495, -60.139427
train,    496, -60.387364
train,    497, -60.420150
train,    498, -60.134846
train,    499, -60.058891
val,      499,   -60.225222,   -60.058891
train,    500, -60.284138
train,    501, -60.569609
train,    502, -60.337516
train,    503, -60.291148
train,    504, -60.136029
train,    505, -60.141041
train,    506, -60.137711
train,    507, -60.274482
train,    508, -60.053134
train,    509, -60.134667
train,    510, -60.301895
train,    511, -60.268294
train,    512, -60.280857
train,    513, -60.052979
train,    514, -60.320742
train,    515, -60.143950
train,    516, -65.075137
train,    517, -60.305486
train,    518, -60.211168
train,    519, -60.177516
train,    520, -60.137471
train,    521, -60.135593
train,    522, -60.135643
train,    523, -60.325296
train,    524, -60.053961
train,    525, -60.312749
train,    526, -60.300104
train,    527, -60.157237
train,    528, -60.052770
train,    529, -60.052765
train,    530, -60.271311
train,    531, -60.138946
train,    532, -60.184931
train,    533, -60.305383
train,    534, -60.350588
train,    535, -60.053094
train,    536, -60.058824
train,    537, -60.354745
train,    538, -60.266926
train,    539, -60.056689
train,    540, -60.190694
train,    541, -60.137348
train,    542, -60.286215
train,    543, -60.056328
