episode,timesteps,is_best,mean_return,mean_return_smooth,success_rate,success_rate_smooth,collision_rate,collision_rate_smooth,mean_speed,mean_speed_smooth
2009,2009,0,34.473642,30.804369,0.780500,0.758593,0.213300,0.216536,20.785000,20.796785
2019,2019,0,31.713377,31.031621,0.746900,0.755670,0.228600,0.219552,20.800900,20.797814
2029,2029,0,25.901425,29.749072,0.745000,0.753002,0.173400,0.208014,20.809200,20.800660
2039,2039,0,25.589093,28.709077,0.754300,0.753327,0.237200,0.215311,20.869700,20.817920
2049,2049,0,25.918316,28.011387,0.737600,0.749395,0.184900,0.207708,20.785100,20.809715
2059,2059,0,27.945463,27.994906,0.782000,0.757546,0.201500,0.206156,20.802300,20.807861
2069,2069,0,31.120601,28.776330,0.759700,0.758085,0.180700,0.199792,20.811700,20.808821
2079,2079,0,28.419059,28.687012,0.747700,0.755489,0.200500,0.199969,20.779300,20.801441
2089,2089,0,32.496775,29.639453,0.766900,0.758341,0.171800,0.192927,20.849700,20.813506
2099,2099,0,29.245667,29.541006,0.771600,0.761656,0.215900,0.198670,20.689700,20.782554
2109,2109,0,29.141396,29.441104,0.793700,0.769667,0.203500,0.199878,20.771500,20.779791
2119,2119,0,29.597498,29.480202,0.754900,0.765975,0.234400,0.208508,20.743900,20.770818
2129,2129,0,25.528565,28.492293,0.778800,0.769181,0.208200,0.208431,20.830900,20.785838
2139,2139,0,20.652634,26.532378,0.792000,0.774886,0.214900,0.210048,20.848800,20.801579
2149,2149,0,24.608590,26.051431,0.767000,0.772915,0.200500,0.207661,20.802600,20.801834
2159,2159,0,29.008584,26.790719,0.785400,0.776036,0.181000,0.200996,20.789100,20.798651
2169,2169,0,25.782428,26.538647,0.784600,0.778177,0.224700,0.206922,20.922600,20.829638
2179,2179,0,29.502470,27.279602,0.741500,0.769008,0.202800,0.205891,20.780000,20.817228
2189,2189,0,33.137238,28.744011,0.760700,0.766931,0.225600,0.210819,20.904200,20.838971
2199,2199,0,32.925834,29.789467,0.766400,0.766798,0.197400,0.207464,20.773900,20.822704
2209,2209,0,26.567190,28.983898,0.755100,0.763874,0.182200,0.201148,20.873000,20.835278
2219,2219,0,31.673723,29.656354,0.700000,0.747905,0.189100,0.198136,20.788600,20.823608
2229,2229,0,29.677801,29.661716,0.720900,0.741154,0.215100,0.202377,20.739700,20.802631
2239,2239,0,26.397845,28.845748,0.716500,0.734990,0.208200,0.203833,20.914800,20.830673
2249,2249,0,28.751737,28.822245,0.764600,0.742393,0.198900,0.202600,20.856700,20.837180
2259,2259,0,29.253901,28.930159,0.764200,0.747845,0.214700,0.205625,20.915500,20.856760
2269,2269,0,32.167876,29.739588,0.763400,0.751733,0.220000,0.209218,20.815400,20.846420
2279,2279,0,33.090131,30.577224,0.765600,0.755200,0.194600,0.205564,20.904500,20.860940
2289,2289,0,35.459157,31.797707,0.760000,0.756400,0.239300,0.213998,20.835400,20.854555
2299,2299,0,29.574186,31.241827,0.766000,0.758800,0.185200,0.206798,20.744400,20.827016
2309,2309,0,30.134296,30.964944,0.747500,0.755975,0.191300,0.202924,20.863400,20.836112
2319,2319,0,27.577154,30.117997,0.751200,0.754781,0.215500,0.206068,20.756100,20.816109
2329,2329,0,23.527385,28.470344,0.776500,0.760211,0.169100,0.196826,20.800200,20.812132
2339,2339,0,25.602770,27.753450,0.729400,0.752508,0.205100,0.198894,20.740200,20.794149
2349,2349,0,30.312982,28.393333,0.747500,0.751256,0.199600,0.199071,20.852700,20.808787
2359,2359,0,26.415014,27.898753,0.747300,0.750267,0.216100,0.203328,20.824500,20.812715
2369,2369,0,32.666137,29.090599,0.789500,0.760075,0.210400,0.205096,20.890300,20.832111
2379,2379,0,33.024365,30.074041,0.758700,0.759732,0.196500,0.202947,20.833400,20.832433
2389,2389,0,28.493959,29.679020,0.760400,0.759899,0.201500,0.202585,20.777200,20.818625
2399,2399,0,31.093749,30.032702,0.787100,0.766699,0.217900,0.206414,20.820100,20.818994
2409,2409,0,28.542197,29.660076,0.782200,0.770574,0.174800,0.198510,20.863600,20.830145
2419,2419,0,26.365798,28.836507,0.749100,0.765206,0.187700,0.195808,20.822500,20.828234
2429,2429,0,24.122964,27.658121,0.773900,0.767379,0.187700,0.193781,20.895600,20.845076
2439,2439,0,27.320038,27.573600,0.766100,0.767059,0.174300,0.188911,20.713700,20.812232
2449,2449,0,27.514741,27.558885,0.746600,0.761945,0.234000,0.200183,20.735200,20.792974
2459,2459,0,31.027148,28.425951,0.756000,0.760458,0.203200,0.200937,20.846000,20.806230
2469,2469,0,31.576932,29.213696,0.752800,0.758544,0.202900,0.201428,20.795800,20.803623
2479,2479,0,31.722773,29.840965,0.762600,0.759558,0.174200,0.194621,20.843900,20.813692
2489,2489,0,29.878819,29.850429,0.732100,0.752693,0.189100,0.193241,20.831600,20.818169
2499,2499,0,29.857823,29.852277,0.795300,0.763345,0.167700,0.186856,20.892700,20.836802
2509,2509,0,27.027954,29.146197,0.769600,0.764909,0.183700,0.186067,20.825400,20.833951
2519,2519,0,30.773191,29.552945,0.779100,0.768457,0.186400,0.186150,20.837100,20.834738
2529,2529,0,27.259032,28.979467,0.775100,0.770117,0.177500,0.183987,20.852400,20.839154
2539,2539,0,30.325678,29.316020,0.731100,0.760363,0.164400,0.179091,20.930100,20.861890
2549,2549,0,30.333774,29.570458,0.802500,0.770897,0.201400,0.184668,20.870200,20.863968
2559,2559,0,33.338392,30.512442,0.755600,0.767073,0.184400,0.184601,20.815600,20.851876
2569,2569,0,32.006725,30.886013,0.811000,0.778055,0.186100,0.184976,20.781400,20.834257
2579,2579,0,32.540241,31.299570,0.749700,0.770966,0.167700,0.180657,20.856400,20.839793
2589,2589,0,30.293885,31.048148,0.756000,0.767225,0.170200,0.178043,20.806700,20.831520
2599,2599,0,30.729655,30.968525,0.752700,0.763593,0.198000,0.183032,20.796700,20.822815
2609,2609,0,26.311699,29.804319,0.747000,0.759445,0.186500,0.183899,20.796900,20.816336
2619,2619,0,27.276690,29.172411,0.771900,0.762559,0.205300,0.189249,20.831800,20.820202
2629,2629,0,29.440338,29.239393,0.761800,0.762369,0.185600,0.188337,20.849600,20.827551
2639,2639,0,29.062705,29.195221,0.802600,0.772427,0.190600,0.188903,20.866600,20.837314
2649,2649,0,30.458898,29.511140,0.793000,0.777570,0.176900,0.185902,20.851600,20.840885
2659,2659,0,30.031326,29.641187,0.795300,0.782003,0.182400,0.185027,20.837800,20.840114
2669,2669,0,31.750418,30.168495,0.757700,0.775927,0.185100,0.185045,20.878300,20.849660
2679,2679,0,28.119432,29.656229,0.781200,0.777245,0.204400,0.189884,20.839700,20.847170
2689,2689,0,27.443452,29.103035,0.762600,0.773584,0.173800,0.185863,20.865200,20.851678
2699,2699,0,29.131425,29.110132,0.804600,0.781338,0.194100,0.187922,20.869000,20.856008
2709,2709,0,25.833183,28.290895,0.778900,0.780728,0.194000,0.189442,20.843300,20.852831
2719,2719,0,28.409990,28.320669,0.783500,0.781421,0.171200,0.184881,20.850400,20.852223
