episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
489,7.936108,3.764388,4.729654,0.374967,0.020921,0.370161,0.537300,0.013562,0.545355,20.169833,0.069603,20.183443,7.529776,4.222439,4.694977,0.500433,0.029525,0.503641,0.442600,0.054248,0.454297,20.498400,0.117910,20.499459
499,8.501648,2.670958,5.672652,0.366733,0.040833,0.369304,0.505700,0.040589,0.535441,20.228067,0.084689,20.194599,12.122126,6.425348,6.551764,0.494667,0.071650,0.501397,0.442567,0.065032,0.451364,20.477333,0.126376,20.493927
509,7.620463,2.156856,6.159605,0.366833,0.011364,0.368686,0.533500,0.018227,0.534956,20.289633,0.122418,20.218358,11.486251,3.187423,7.785386,0.534967,0.081042,0.509790,0.420767,0.034170,0.443715,20.443167,0.096968,20.481237
519,1.829225,2.573054,5.077010,0.414333,0.037891,0.380098,0.518500,0.033219,0.530842,20.149867,0.117652,20.201235,11.305455,4.458676,8.665403,0.540100,0.051584,0.517367,0.396333,0.007376,0.431869,20.489867,0.132523,20.483395
529,-0.911734,2.674970,3.579824,0.404400,0.070008,0.386174,0.552500,0.023477,0.536256,20.146733,0.166513,20.187609,15.456609,2.141446,10.363205,0.529300,0.037366,0.520350,0.419967,0.034915,0.428894,20.514867,0.090872,20.491263
539,3.608760,3.976982,3.587058,0.382967,0.012574,0.385372,0.531767,0.002108,0.535134,20.103400,0.056694,20.166557,13.628405,5.717436,11.179505,0.532233,0.041808,0.523321,0.420567,0.052380,0.426812,20.466233,0.084360,20.485005
549,7.784187,3.088430,4.636340,0.393200,0.033420,0.387329,0.543400,0.017455,0.537200,20.187400,0.104339,20.171768,9.495222,2.585380,10.758434,0.544600,0.034503,0.528641,0.412800,0.054068,0.423309,20.551800,0.116104,20.501704
559,13.069714,1.919260,6.744684,0.408500,0.034880,0.392622,0.547533,0.047537,0.539784,20.214967,0.063834,20.182568,10.095306,4.293563,10.592652,0.516200,0.036826,0.525531,0.417767,0.034982,0.421923,20.478667,0.115078,20.495945
569,15.129056,0.986617,8.840777,0.386333,0.015284,0.391050,0.514600,0.009431,0.533488,20.267167,0.102344,20.203717,7.127861,3.934126,9.726454,0.523000,0.059193,0.524898,0.434200,0.045957,0.424993,20.521667,0.057980,20.502375
579,15.444657,1.645916,10.491747,0.390000,0.012572,0.390787,0.527400,0.039437,0.531966,20.238833,0.129071,20.212496,11.510563,6.820279,10.172481,0.551367,0.035548,0.531515,0.405800,0.047682,0.420194,20.446700,0.105041,20.488456
