episode,baseline_mean_return_mean,baseline_mean_return_std,baseline_mean_return_smooth_mean,baseline_success_rate_mean,baseline_success_rate_std,baseline_success_rate_smooth_mean,baseline_collision_rate_mean,baseline_collision_rate_std,baseline_collision_rate_smooth_mean,baseline_mean_speed_mean,baseline_mean_speed_std,baseline_mean_speed_smooth_mean,ours_mean_return_mean,ours_mean_return_std,ours_mean_return_smooth_mean,ours_success_rate_mean,ours_success_rate_std,ours_success_rate_smooth_mean,ours_collision_rate_mean,ours_collision_rate_std,ours_collision_rate_smooth_mean,ours_mean_speed_mean,ours_mean_speed_std,ours_mean_speed_smooth_mean
1599,45.100634,5.910889,52.396642,0.684167,0.058693,0.653169,0.358600,0.024890,0.326995,12.072133,0.598106,11.897551,15.348268,1.471029,30.445279,0.709900,0.034686,0.690593,0.245600,0.046391,0.241916,12.578633,0.663315,12.967642
1624,62.206213,6.038738,54.849035,0.670967,0.049782,0.657618,0.317133,0.065524,0.324530,12.778367,0.693164,12.117755,31.032340,18.637245,30.592044,0.756633,0.029816,0.707103,0.228233,0.044644,0.238496,13.102533,0.189914,13.001365
1649,78.894285,6.167966,60.860347,0.619933,0.018580,0.648197,0.318233,0.063868,0.322956,12.854067,0.362890,12.301833,40.171902,14.736652,32.987009,0.632767,0.032174,0.688519,0.146500,0.055858,0.215497,13.469967,0.131544,13.118515
1674,86.669787,6.635197,67.312707,0.731933,0.043986,0.669131,0.299200,0.061032,0.317017,13.023267,0.144290,12.482191,35.648732,1.938203,33.652440,0.742333,0.048067,0.701973,0.233300,0.032129,0.219948,12.937533,0.340413,13.073270
1699,81.921444,5.952427,70.964891,0.659867,0.024903,0.666815,0.252833,0.047223,0.300971,12.750133,0.359082,12.549177,28.268798,20.788880,32.306529,0.737700,0.061382,0.710904,0.288000,0.021236,0.236961,13.286267,0.402836,13.126519
1724,74.700390,7.363107,71.898766,0.672633,0.023569,0.668270,0.338400,0.019888,0.310328,12.889000,0.182186,12.634133,9.197705,17.990856,26.529323,0.734900,0.076780,0.716903,0.192867,0.066900,0.225937,13.752033,0.326619,13.282898
1749,61.939187,4.419219,69.408871,0.726100,0.035410,0.682727,0.370367,0.023846,0.325338,12.680400,0.687369,12.645699,10.098421,6.414091,22.421598,0.742800,0.081019,0.723377,0.233600,0.027356,0.227853,13.931067,0.427933,13.444940
1774,81.173841,4.483813,72.350114,0.711500,0.012472,0.689920,0.360933,0.035170,0.334237,12.536167,0.238842,12.618316,27.252062,8.207872,23.629214,0.697000,0.021265,0.716783,0.164800,0.050887,0.212090,13.483700,0.480255,13.454630
1799,92.098876,2.560451,77.287304,0.692567,0.012818,0.690582,0.342900,0.052571,0.336403,12.678233,0.644386,12.633296,32.424967,16.762660,25.828152,0.705967,0.014565,0.714079,0.201300,0.002334,0.209392,13.709867,0.933809,13.518439
1824,88.800457,1.942757,80.165592,0.764567,0.043074,0.709078,0.354933,0.061172,0.341035,12.426233,0.400942,12.581530,43.001179,9.326119,30.121409,0.771833,0.037979,0.728518,0.235300,0.069805,0.215869,13.370633,0.308119,13.481488
1849,83.381484,4.323482,80.969565,0.727567,0.011726,0.713700,0.305500,0.018771,0.332151,12.591167,0.465656,12.583939,31.536830,14.703122,30.475264,0.739367,0.068722,0.731230,0.188267,0.047448,0.208969,13.553633,0.679468,13.499524
1874,64.712309,5.197884,76.905251,0.685233,0.052448,0.706584,0.295400,0.018604,0.322964,12.919433,0.614725,12.667813,20.834614,13.703767,28.065101,0.758767,0.011996,0.738114,0.203967,0.070220,0.207718,13.266767,0.576240,13.441335
1899,57.248417,6.386253,71.991043,0.743200,0.036507,0.715738,0.269567,0.059458,0.309614,12.635367,0.206231,12.659701,28.057512,2.418072,28.063204,0.729367,0.021087,0.735927,0.171567,0.053012,0.198680,13.790533,0.299883,13.528634
1924,56.137501,5.705836,68.027657,0.691667,0.033925,0.709720,0.296200,0.030050,0.306261,13.069067,0.565283,12.762043,35.583164,10.337583,29.943194,0.726433,0.034252,0.733554,0.168433,0.040003,0.191119,13.016333,0.620629,13.400559
1949,71.207025,2.766704,68.822499,0.681400,0.067989,0.702640,0.317600,0.031593,0.309096,12.534833,0.346231,12.705240,49.564385,14.027808,34.848492,0.746567,0.011270,0.736807,0.129367,0.029575,0.175681,13.532400,0.791930,13.433519
1974,69.535802,5.082266,69.000825,0.656267,0.023893,0.691047,0.287867,0.033576,0.303788,13.085133,0.563300,12.800214,46.169401,7.891659,37.678719,0.723533,0.048586,0.733489,0.183367,0.084638,0.177602,13.222467,0.291406,13.380756
1999,54.158688,3.692588,65.290291,0.685400,0.035289,0.689635,0.277700,0.044079,0.297266,12.959467,0.625339,12.840027,32.525771,17.223427,36.390482,0.694367,0.101196,0.723708,0.179567,0.025930,0.178093,13.670233,0.518887,13.453125
2024,43.934332,6.018487,59.951301,0.717800,0.036351,0.696676,0.231267,0.060602,0.280766,12.778867,0.246051,12.824737,30.641059,8.829174,34.953126,0.743967,0.045775,0.728773,0.209833,0.028865,0.186028,13.561867,0.228015,13.480311
2049,33.157792,2.695849,53.252924,0.666400,0.013935,0.689107,0.286800,0.015146,0.282275,12.579867,0.546076,12.763519,28.867627,3.208917,33.431751,0.777867,0.078202,0.741046,0.123300,0.052166,0.170346,14.031233,0.718693,13.618041
